customer_id,age,income,region,credit_limit,signup_date
84,34,66498,Suburban,22770,2022-12-05
85,46,72647,Suburban,43294,2022-03-11
86,18,35672,Suburban,23277,2023-12-15
87,41,34941,Rural,10680,2022-08-08
88,54,99965,Suburban,71114,2022-01-01
89,33,35525,Suburban,19143,2023-02-13
90,45,50040,Rural,16858,2022-08-15
91,31,40759,Suburban,32522,2023-07-20
92,40,86376,Suburban,52695,2022-01-08
93,23,71170,Urban_Mid_Income,29514,2023-06-24
94,47,129176,Urban_High_Income,58744,2023-12-25
95,32,51902,Suburban,17548,2023-01-25
96,53,73823,Rural,37585,2022-08-30
97,37,44167,Suburban,30422,2022-05-26
98,46,37577,Rural,18429,2023-11-20
99,18,20000,Rural,8734,2023-06-02
100,66,104353,Suburban,78952,2022-01-23
101,37,24254,Rural,8842,2022-02-20
102,46,66141,Urban_Mid_Income,44877,2022-02-03
103,46,58033,Urban_Mid_Income,32507,2022-04-28
104,56,51612,Rural,40463,2023-02-05
105,64,132304,Urban_High_Income,53779,2023-02-26
106,42,76099,Suburban,47054,2022-12-01
107,37,78866,Suburban,43928,2022-12-01
108,56,86552,Urban_Mid_Income,67057,2022-05-18
109,18,27333,Rural,14474,2023-06-30
110,24,39294,Suburban,23176,2022-04-21
111,47,70561,Urban_High_Income,27585,2023-11-27
112,42,90912,Suburban,71508,2022-03-02
113,29,42220,Urban_Mid_Income,14538,2023-05-28
114,53,79780,Suburban,29069,2023-12-31
115,31,62056,Suburban,45722,2022-02-17
116,54,87450,Urban_High_Income,58953,2022-09-10
117,53,57624,Rural,24090,2022-01-28
118,66,87932,Urban_Mid_Income,27992,2022-11-08
119,55,110695,Urban_High_Income,74698,2023-05-23
120,64,63007,Urban_High_Income,26541,2023-09-23
121,32,36386,Urban_Mid_Income,13094,2022-05-25
122,18,32047,Urban_Mid_Income,20011,2022-05-26
123,77,153766,Urban_High_Income,103441,2023-01-04
124,19,22939,Suburban,17200,2022-11-16
125,21,55759,Suburban,19565,2023-12-11
126,59,83833,Urban_Mid_Income,28834,2022-12-16
127,18,49796,Urban_Mid_Income,39398,2022-08-11
128,53,58512,Rural,17708,2022-04-28
129,49,57035,Urban_Mid_Income,43614,2023-12-16
130,55,73882,Suburban,29074,2022-04-28
131,51,67664,Suburban,38224,2022-01-01
132,51,52387,Suburban,19759,2022-09-16
133,29,56455,Urban_High_Income,18725,2022-06-21
134,33,59592,Urban_Mid_Income,22014,2022-11-25
135,31,67726,Rural,34264,2023-08-29
136,48,105601,Urban_High_Income,53250,2023-01-11
137,34,26197,Rural,19994,2022-11-16
138,40,70689,Suburban,49315,2022-09-27
139,35,47395,Rural,19803,2022-03-19
140,55,80611,Suburban,40001,2022-10-23
141,50,86065,Suburban,52676,2022-01-23
142,18,59944,Suburban,29717,2023-09-08
143,18,62135,Urban_Mid_Income,28980,2022-06-28
144,47,63632,Urban_Mid_Income,38818,2023-04-23
145,34,46197,Rural,21059,2023-02-15
146,43,63490,Suburban,43251,2023-09-27
147,43,36876,Rural,18047,2022-08-04
148,80,119680,Suburban,65007,2022-11-20
149,55,110854,Suburban,71719,2022-10-19
150,59,98522,Suburban,76802,2023-07-04
151,18,28516,Urban_Mid_Income,17323,2022-08-06
152,78,117149,Suburban,36205,2023-11-14
153,68,75669,Rural,57603,2022-05-07
154,70,118152,Urban_Mid_Income,60501,2022-01-29
155,37,65809,Urban_High_Income,25189,2023-02-24
156,80,146803,Urban_High_Income,73328,2022-11-05
157,26,20895,Urban_Mid_Income,11883,2022-03-16
158,18,20000,Rural,15184,2023-10-02
159,25,43871,Urban_Mid_Income,17030,2022-06-29
160,38,79174,Suburban,46736,2023-10-24
161,43,41696,Urban_Mid_Income,32847,2022-12-27
162,30,62363,Urban_High_Income,49793,2023-07-15
163,28,23933,Urban_Mid_Income,12287,2023-12-24
164,75,92667,Urban_Mid_Income,45301,2022-05-24
165,62,47926,Suburban,24939,2022-04-24
166,36,68671,Suburban,32082,2022-02-24
167,20,20976,Rural,13047,2023-01-15
168,38,56409,Rural,32484,2023-03-19
169,18,60186,Suburban,35192,2022-02-20
170,36,60361,Suburban,25447,2022-03-19
171,18,25790,Suburban,8858,2022-11-26
172,46,63175,Urban_High_Income,32264,2023-05-29
173,19,42885,Rural,30558,2023-12-08
174,53,58979,Suburban,29767,2022-08-14
175,36,46029,Rural,26829,2022-02-28
176,36,59323,Rural,18463,2023-06-10
177,30,85676,Suburban,35042,2022-10-05
178,42,51592,Rural,19906,2023-12-28
179,43,96589,Suburban,68339,2022-02-10
180,72,109832,Urban_Mid_Income,78515,2023-08-22
181,35,60121,Urban_High_Income,26047,2022-06-17
182,40,101185,Urban_Mid_Income,59359,2023-02-05
183,47,35050,Suburban,11338,2022-12-29
184,44,63656,Urban_Mid_Income,21269,2022-10-23
185,45,82730,Suburban,50068,2022-11-06
186,49,83006,Suburban,55306,2022-10-16
187,23,46968,Urban_Mid_Income,33853,2023-05-22
188,59,78829,Suburban,27850,2023-12-14
189,66,80586,Urban_Mid_Income,48282,2022-01-25
190,49,81933,Urban_Mid_Income,53039,2023-04-23
191,37,62299,Urban_High_Income,43841,2022-01-17
192,22,28652,Rural,16359,2022-08-04
193,61,70882,Rural,46928,2023-12-11
194,46,59218,Rural,38289,2023-05-04
195,54,58627,Rural,18583,2023-09-21
196,39,64557,Suburban,32981,2023-04-22
197,42,71845,Suburban,33016,2023-05-05
198,22,73319,Suburban,42550,2022-04-08
199,18,43578,Rural,21886,2022-02-08
200,63,92018,Urban_Mid_Income,42271,2023-12-23
201,57,85449,Suburban,43472,2022-06-19
202,51,52827,Rural,17698,2022-01-29
203,34,20000,Rural,12275,2023-03-16
204,29,48287,Urban_Mid_Income,22607,2022-12-06
205,35,58164,Suburban,27762,2023-11-01
206,52,74574,Rural,32710,2023-08-08
207,27,56799,Urban_High_Income,44202,2022-03-02
208,46,70251,Urban_Mid_Income,52133,2022-12-10
209,25,57474,Suburban,45725,2023-07-25
210,34,72976,Suburban,52201,2023-01-01
211,34,46478,Urban_Mid_Income,18276,2022-09-16
212,49,67713,Rural,27638,2023-06-05
213,63,57397,Rural,37193,2022-08-04
214,75,66036,Rural,44504,2022-03-30
215,29,58642,Suburban,43321,2022-11-19
216,32,54412,Urban_Mid_Income,39509,2022-06-19
217,51,79224,Rural,27213,2022-05-04
218,55,63801,Urban_Mid_Income,34959,2023-03-30
219,42,60084,Rural,45259,2022-11-19
220,52,106621,Urban_Mid_Income,46222,2022-09-19
221,36,73832,Suburban,27958,2023-11-12
222,46,59756,Urban_Mid_Income,23580,2022-05-13
223,39,46955,Rural,21954,2023-11-01
224,29,47817,Rural,18962,2023-06-09
225,42,72862,Suburban,31323,2023-12-01
226,38,81938,Urban_High_Income,36190,2023-03-31
227,40,74107,Suburban,45672,2022-08-10
228,33,46434,Rural,31827,2022-11-20
229,36,61792,Urban_Mid_Income,36524,2023-12-06
230,72,109491,Urban_High_Income,65387,2023-04-05
231,65,114095,Urban_High_Income,73208,2023-06-22
232,52,75299,Urban_Mid_Income,26437,2023-05-04
233,51,91893,Urban_Mid_Income,37711,2022-05-10
234,34,37132,Rural,27256,2023-01-17
235,51,73991,Urban_Mid_Income,37725,2022-03-25
236,55,76306,Urban_Mid_Income,31665,2022-06-12
237,23,86636,Urban_High_Income,63433,2022-07-27
238,35,54587,Suburban,18864,2023-06-04
239,48,60009,Rural,36792,2023-11-24
240,66,84869,Rural,35965,2023-06-05
241,30,52440,Urban_Mid_Income,30991,2022-04-27
242,46,75400,Suburban,28259,2022-10-01
243,46,75411,Suburban,49842,2022-01-11
244,47,86118,Suburban,27541,2022-08-02
245,37,65836,Suburban,35629,2022-04-02
246,38,67306,Suburban,31178,2022-01-02
247,34,81672,Suburban,37654,2022-06-15
248,56,99819,Suburban,39935,2023-03-04
249,62,131403,Urban_High_Income,41496,2022-03-14
250,69,128168,Urban_High_Income,94265,2023-11-21
251,49,103668,Suburban,56209,2023-04-04
252,61,65379,Rural,34400,2023-05-30
253,38,52434,Urban_High_Income,34733,2022-01-12
254,26,39145,Urban_Mid_Income,27200,2023-11-26
255,22,80231,Urban_High_Income,45831,2022-02-28
256,51,63433,Suburban,21319,2022-07-26
257,58,81075,Urban_Mid_Income,53800,2022-01-24
258,23,22377,Suburban,17763,2022-06-01
259,80,123819,Suburban,38965,2023-05-27
260,61,102412,Suburban,64264,2023-01-06
261,22,20000,Urban_Mid_Income,10658,2022-01-21
262,48,65688,Suburban,49562,2023-08-22
263,45,33107,Suburban,16769,2023-07-07
264,39,79843,Urban_Mid_Income,44505,2022-03-25
265,36,44122,Suburban,34622,2022-03-07
266,42,46277,Rural,27736,2023-11-07
267,18,25260,Rural,8506,2022-09-27
268,71,87357,Urban_Mid_Income,32573,2022-05-13
269,64,103691,Urban_Mid_Income,39767,2022-10-11
270,54,126061,Urban_High_Income,67734,2023-05-12
271,58,87604,Suburban,50729,2022-09-08
272,40,80314,Urban_High_Income,45424,2022-01-20
273,23,69830,Urban_High_Income,27234,2022-02-28
274,33,55338,Urban_Mid_Income,20706,2023-11-24
275,18,52061,Suburban,29199,2023-03-04
276,31,66709,Suburban,26295,2023-10-31
277,39,71281,Suburban,46070,2022-11-07
278,40,45644,Rural,19265,2023-06-22
279,35,42622,Rural,32626,2022-01-01
280,25,73835,Urban_Mid_Income,46192,2023-08-25
281,47,52208,Urban_Mid_Income,23966,2022-06-10
282,46,84179,Suburban,49119,2023-05-04
283,60,122865,Urban_High_Income,93726,2022-01-19
284,52,63482,Rural,32870,2022-11-27
285,56,59039,Urban_Mid_Income,27405,2022-03-06
286,65,77234,Urban_Mid_Income,38175,2023-04-18
287,18,73829,Suburban,22690,2022-09-24
288,58,118025,Suburban,62759,2022-01-03
289,18,45077,Suburban,24267,2022-02-12
290,50,64578,Rural,50226,2022-01-21
291,38,67200,Urban_Mid_Income,51308,2022-11-20
292,30,34784,Rural,18885,2023-01-08
293,56,70731,Urban_Mid_Income,40287,2022-05-24
294,31,100278,Urban_High_Income,79055,2022-03-31
295,50,73815,Urban_High_Income,28841,2022-06-08
296,44,56818,Suburban,24334,2022-02-05
297,49,38401,Suburban,13676,2022-05-21
298,42,72410,Suburban,29980,2023-06-05
299,35,43001,Suburban,32377,2022-06-01
300,53,65664,Urban_Mid_Income,28721,2023-06-15
301,57,66383,Rural,45361,2023-03-15
302,49,67010,Suburban,49011,2023-09-23
303,33,44065,Suburban,18292,2023-03-31
304,33,36108,Suburban,21565,2022-09-11
305,52,64066,Urban_High_Income,40869,2023-07-08
306,56,108247,Suburban,86124,2023-12-01
307,18,40548,Rural,30523,2023-09-13
308,33,49074,Urban_High_Income,20284,2023-03-01
309,60,89225,Suburban,56640,2023-03-04
310,57,83703,Urban_Mid_Income,52351,2023-01-16
311,19,20000,Suburban,15954,2023-04-16
312,43,60279,Suburban,46946,2023-04-22
313,44,48401,Suburban,16860,2023-09-25
314,41,51563,Rural,25331,2022-10-06
315,43,78975,Urban_Mid_Income,56942,2022-05-29
316,54,85266,Urban_High_Income,62444,2023-04-05
317,25,23675,Rural,11366,2022-12-07
318,42,39311,Urban_Mid_Income,28015,2023-12-03
319,47,122668,Suburban,93190,2022-05-23
320,36,48149,Rural,36848,2022-02-11
321,64,116875,Suburban,66179,2023-04-07
322,31,51087,Rural,17393,2023-02-09
323,35,62064,Urban_High_Income,48327,2022-09-23
324,41,56712,Rural,34205,2022-08-26
325,18,39555,Urban_Mid_Income,14761,2022-04-27
326,56,31409,Urban_High_Income,13075,2022-06-22
327,40,78288,Suburban,35692,2023-06-16
328,46,61620,Suburban,25142,2022-09-11
329,22,20000,Suburban,11644,2022-12-11
330,33,62133,Urban_High_Income,22411,2022-07-09
331,50,58730,Urban_Mid_Income,35768,2023-09-07
332,31,41231,Urban_Mid_Income,15951,2023-02-24
333,26,48247,Suburban,35862,2023-07-28
334,47,38517,Suburban,20831,2023-03-31
335,33,20000,Suburban,6191,2023-08-14
336,27,63346,Suburban,38608,2022-01-13
337,27,61074,Urban_High_Income,35055,2023-12-04
338,31,50187,Suburban,18248,2023-06-30
339,39,90289,Urban_Mid_Income,44056,2023-03-12
340,49,51735,Rural,18964,2022-07-11
341,59,47458,Rural,24621,2022-01-29
342,40,65973,Urban_Mid_Income,45560,2022-10-11
343,53,89544,Suburban,55368,2022-03-20
344,57,57764,Rural,20381,2023-03-25
345,53,107174,Suburban,75136,2023-04-28
346,21,33906,Urban_High_Income,16100,2023-02-03
347,32,54203,Rural,27430,2022-12-16
348,40,37078,Rural,12655,2023-01-03
349,56,50071,Rural,30660,2023-04-08
350,46,54266,Urban_Mid_Income,37298,2022-06-18
351,56,58112,Rural,26795,2023-11-07
352,42,70272,Urban_Mid_Income,41545,2022-12-17
353,25,58031,Suburban,18678,2022-09-30
354,33,24687,Rural,12739,2022-05-04
355,34,43914,Urban_Mid_Income,33557,2022-06-21
356,46,83431,Urban_Mid_Income,36956,2023-06-28
357,36,68191,Urban_Mid_Income,39006,2022-05-29
358,60,60084,Rural,39910,2023-10-09
359,39,56460,Urban_Mid_Income,38201,2022-12-11
360,47,44179,Rural,31318,2023-08-30
361,35,46241,Suburban,23431,2023-02-25
362,18,43411,Suburban,25287,2023-02-17
363,57,107946,Urban_High_Income,55797,2022-05-16
364,38,51728,Suburban,36211,2023-05-06
365,53,87061,Urban_Mid_Income,52888,2022-03-07
366,46,93491,Urban_Mid_Income,28291,2023-08-25
367,54,66697,Rural,42632,2022-03-11
368,67,63127,Rural,46910,2022-08-15
369,36,65678,Urban_High_Income,32434,2022-09-30
370,75,105328,Suburban,35013,2022-12-02
371,38,62699,Urban_Mid_Income,34064,2023-11-01
372,53,49926,Rural,27415,2022-07-30
373,58,92399,Urban_High_Income,60414,2023-12-05
374,28,49063,Suburban,32761,2023-04-26
375,49,64006,Urban_High_Income,42745,2022-04-28
376,69,84932,Suburban,58843,2023-02-03
377,36,83697,Suburban,49041,2023-02-04
378,47,71579,Urban_Mid_Income,27389,2023-09-11
379,34,87716,Urban_High_Income,49037,2023-07-17
380,35,22471,Rural,16546,2022-12-15
381,18,27609,Suburban,21222,2022-12-22
382,45,78971,Urban_High_Income,43294,2023-10-03
383,35,37475,Rural,18715,2023-08-19
384,40,65331,Suburban,28148,2022-06-12
385,25,20000,Urban_Mid_Income,14447,2023-08-05
386,34,71257,Urban_High_Income,23609,2022-09-07
387,22,27436,Suburban,18819,2022-03-11
388,43,54195,Rural,41644,2023-03-02
389,50,68761,Rural,37629,2022-01-21
390,25,55934,Urban_Mid_Income,32591,2023-01-06
391,18,41976,Rural,14987,2022-06-27
392,29,53028,Suburban,34037,2022-10-16
393,37,68221,Suburban,44611,2023-06-13
394,50,72890,Suburban,37488,2023-06-01
395,48,63285,Rural,33614,2023-03-11
396,31,59334,Suburban,33004,2023-07-25
397,32,44787,Suburban,17124,2023-01-18
398,47,41443,Rural,15782,2023-01-16
399,55,85294,Suburban,48562,2022-08-15
400,57,115020,Urban_High_Income,56383,2023-12-10
401,43,31299,Rural,13883,2023-04-21
402,27,22392,Rural,13913,2022-08-26
403,49,64290,Suburban,44786,2023-01-22
404,80,109716,Urban_Mid_Income,34746,2023-06-04
405,27,40821,Rural,21233,2023-01-01
406,44,91687,Urban_High_Income,50667,2022-01-16
407,26,34015,Rural,22538,2022-06-11
408,39,78076,Urban_Mid_Income,29756,2023-06-21
409,34,45194,Urban_High_Income,35555,2023-04-21
410,44,65032,Rural,42604,2023-01-12
411,39,91330,Suburban,43737,2022-08-14
412,43,60541,Rural,25558,2022-06-05
413,38,39930,Rural,14813,2022-02-10
414,48,57001,Suburban,29512,2023-10-24
415,48,85411,Suburban,36469,2022-10-16
416,24,82781,Urban_High_Income,53242,2022-06-05
417,49,61133,Suburban,48654,2023-10-02
418,43,107975,Suburban,48875,2022-07-10
419,34,102357,Urban_High_Income,69564,2023-04-05
420,46,81874,Urban_Mid_Income,60350,2022-08-07
421,40,50871,Suburban,26970,2023-09-04
422,38,44241,Urban_Mid_Income,31021,2023-05-22
423,38,74396,Suburban,54247,2022-03-24
424,50,64307,Rural,46284,2022-06-22
425,27,49006,Rural,35024,2023-05-23
426,19,39590,Suburban,14257,2023-11-07
427,18,42778,Urban_High_Income,25631,2022-11-30
428,48,94694,Suburban,56495,2023-09-24
429,40,60391,Urban_Mid_Income,42110,2023-11-01
430,54,73820,Suburban,43308,2023-10-23
431,47,114331,Urban_High_Income,40869,2022-07-20
432,56,64915,Rural,48004,2022-03-06
433,34,76785,Urban_High_Income,57999,2022-06-23
434,55,60589,Rural,31609,2022-08-20
435,63,61127,Rural,37887,2023-03-31
436,52,83715,Urban_High_Income,65748,2023-05-07
437,64,72282,Rural,39981,2022-03-28
438,43,64259,Suburban,48431,2023-04-12
439,20,40324,Urban_Mid_Income,24412,2023-11-20
440,37,51695,Suburban,36253,2023-12-05
441,47,74343,Suburban,37060,2023-07-03
442,43,89035,Urban_Mid_Income,65880,2022-07-02
443,70,69286,Rural,55180,2022-11-29
444,36,29282,Rural,19471,2023-08-07
445,53,74840,Rural,34028,2022-10-28
446,54,95025,Suburban,30434,2023-10-20
447,29,20000,Urban_High_Income,9690,2023-10-21
448,55,89406,Suburban,44892,2023-10-17
449,68,83704,Suburban,52166,2022-09-23
450,37,59665,Suburban,36929,2023-09-21
451,42,38962,Rural,14457,2022-03-22
452,18,70043,Suburban,23968,2022-12-23
453,18,64385,Urban_High_Income,42789,2023-05-20
454,57,97563,Urban_High_Income,48971,2023-03-05
455,57,70344,Urban_Mid_Income,36804,2023-03-27
456,64,105958,Suburban,37025,2022-03-16
457,61,64353,Suburban,42009,2023-11-10
458,48,60344,Suburban,19454,2022-07-12
459,45,24540,Rural,12011,2023-02-23
460,39,50638,Urban_Mid_Income,23071,2023-07-30
461,23,37917,Suburban,30107,2022-01-31
462,41,49332,Suburban,15479,2023-03-19
463,18,20000,Suburban,9132,2022-05-05
464,50,75577,Suburban,27062,2022-06-19
465,18,20000,Urban_Mid_Income,15948,2022-07-20
466,18,20000,Rural,9403,2022-03-09
467,80,55932,Rural,21487,2023-01-14
468,57,54337,Rural,35564,2023-05-12
469,25,64168,Suburban,45902,2023-05-14
470,46,64347,Urban_Mid_Income,25973,2023-05-24
471,46,61495,Rural,35955,2022-06-14
472,43,70802,Suburban,46406,2023-10-21
473,66,150353,Urban_High_Income,71677,2023-07-13
474,46,46196,Rural,16742,2022-07-03
475,40,43496,Urban_Mid_Income,34383,2023-08-05
476,20,29565,Suburban,11873,2022-08-04
477,53,87531,Suburban,42114,2023-04-10
478,41,49967,Rural,35665,2022-12-31
479,26,38082,Suburban,17363,2022-11-19
480,76,116259,Suburban,88728,2023-12-21
481,43,61102,Rural,37655,2022-10-04
482,32,68788,Urban_Mid_Income,27883,2022-02-26
483,60,44436,Rural,14864,2022-05-21
484,52,69754,Rural,47646,2023-11-07
485,38,51088,Suburban,33799,2023-01-19
486,73,122892,Suburban,72324,2022-10-17
487,31,74625,Urban_High_Income,53807,2023-01-15
488,18,28270,Suburban,11766,2022-10-22
489,30,48124,Suburban,20841,2023-09-22
490,18,37290,Urban_Mid_Income,23128,2023-03-13
491,35,45024,Urban_High_Income,30607,2022-01-31
492,18,30206,Rural,17910,2023-04-01
493,48,118392,Suburban,62935,2022-02-22
494,57,93038,Rural,34558,2023-04-16
495,25,44748,Suburban,33158,2022-12-20
496,32,31284,Suburban,10992,2022-08-29
497,37,67691,Suburban,48715,2023-01-25
498,29,69307,Urban_Mid_Income,24323,2023-07-31
499,58,109043,Urban_High_Income,63889,2022-05-21
500,51,78605,Suburban,50116,2023-02-05
501,18,39582,Suburban,24397,2023-09-24
502,35,52385,Suburban,38647,2022-04-11
503,26,47237,Rural,16659,2023-12-24
504,39,60186,Suburban,46849,2023-06-24
505,27,34506,Rural,21297,2022-08-15
506,60,79997,Urban_Mid_Income,58012,2023-06-12
507,47,81763,Urban_Mid_Income,51008,2022-04-10
508,18,57554,Suburban,21197,2022-09-20
509,44,78366,Urban_High_Income,41853,2022-03-06
510,28,20000,Rural,6580,2022-04-28
511,28,37306,Rural,24026,2023-06-09
512,38,44721,Urban_Mid_Income,24437,2022-04-21
513,38,68013,Urban_Mid_Income,45054,2023-02-13
514,72,74010,Rural,33743,2022-06-05
515,35,52062,Urban_Mid_Income,37930,2023-05-17
516,52,109158,Urban_High_Income,39308,2022-05-14
517,23,26042,Suburban,17435,2023-06-03
518,56,58914,Urban_Mid_Income,46371,2023-09-15
519,60,96749,Suburban,58347,2023-05-19
520,18,27087,Suburban,9015,2023-05-04
521,32,68649,Rural,22644,2022-08-06
522,73,116869,Suburban,72727,2023-06-24
523,51,44755,Rural,27294,2023-03-17
524,47,103312,Suburban,38585,2023-11-24
525,58,100327,Suburban,77623,2022-04-12
526,56,79937,Urban_Mid_Income,52268,2022-08-30
527,41,84627,Suburban,35130,2022-09-05
528,42,95671,Urban_High_Income,40272,2023-07-27
529,43,53433,Rural,40841,2023-03-22
530,18,69601,Suburban,22408,2023-06-02
531,48,85541,Suburban,36011,2023-08-05
532,41,129826,Urban_High_Income,65346,2023-11-30
533,18,33568,Rural,17405,2022-01-19
534,29,73059,Urban_Mid_Income,47427,2022-09-02
535,40,50915,Rural,37020,2023-04-23
536,52,60476,Suburban,38299,2022-07-06
537,50,58954,Rural,35463,2023-02-25
538,51,91231,Urban_High_Income,37800,2022-06-20
539,34,82151,Urban_High_Income,45786,2023-08-26
540,33,31667,Urban_Mid_Income,23665,2022-06-22
541,30,33788,Urban_High_Income,25671,2023-05-14
542,18,78006,Suburban,48186,2023-02-08
543,18,40090,Rural,27813,2022-04-26
544,18,65067,Urban_Mid_Income,47085,2022-02-27
545,49,60936,Rural,25248,2022-07-12
546,35,69508,Urban_Mid_Income,53884,2023-12-10
547,18,72398,Suburban,33532,2023-02-07
548,55,97866,Urban_High_Income,70750,2023-10-07
549,40,95704,Suburban,52519,2023-09-20
550,29,33714,Urban_Mid_Income,20124,2023-07-12
551,42,76792,Urban_Mid_Income,38757,2022-10-07
552,32,53925,Rural,38415,2022-10-17
553,18,31835,Rural,16319,2023-08-04
554,67,132610,Urban_Mid_Income,78931,2023-12-01
555,31,39215,Suburban,17724,2023-05-30
556,58,49596,Rural,30765,2022-06-18
557,18,20000,Rural,9252,2023-06-21
558,32,48519,Urban_Mid_Income,22730,2022-02-16
559,63,44075,Rural,27789,2023-07-25
560,43,41712,Suburban,18120,2023-04-25
561,51,64694,Urban_High_Income,29001,2022-06-02
562,63,119739,Urban_High_Income,78338,2023-07-17
563,58,99178,Urban_Mid_Income,52649,2022-01-01
564,38,76871,Urban_High_Income,25055,2022-03-14
565,48,85004,Urban_Mid_Income,56402,2022-06-24
566,18,50877,Suburban,27537,2022-04-10
567,31,55983,Rural,17500,2023-02-23
568,19,43227,Urban_High_Income,28202,2022-06-17
569,69,121642,Urban_High_Income,88959,2023-06-09
570,48,48611,Rural,34241,2022-04-05
571,52,69874,Urban_Mid_Income,44464,2023-06-03
572,42,67027,Urban_Mid_Income,28403,2022-05-04
573,41,60040,Urban_Mid_Income,23758,2022-05-20
574,60,77087,Suburban,38718,2022-04-28
575,31,49934,Urban_Mid_Income,23306,2023-12-27
576,39,53280,Urban_Mid_Income,41144,2022-05-21
577,33,44572,Rural,30777,2022-05-08
578,37,37332,Rural,16357,2023-12-15
579,41,43665,Rural,34432,2022-11-18
580,38,33344,Rural,22305,2023-04-19
581,43,46542,Suburban,15685,2023-01-22
582,18,36387,Urban_Mid_Income,16146,2023-08-09
583,46,56741,Suburban,21905,2023-05-10
584,33,37379,Rural,22410,2023-08-19
585,72,141753,Urban_High_Income,92408,2022-05-14
586,59,101259,Urban_Mid_Income,61262,2023-03-19
